Frame,Status,BestRef,Inliers,Matches,InlierRatio,ProjCx,ProjCy,Latitude,Longitude
1,OK,frame_0041.tif,6,23,0.2608695652173913,650.303459547407,575.2673420994676,31.98536320992369,118.89050916153326
2,OK,frame_0041.tif,5,24,0.20833333333333334,598.8431934610596,658.8478244678809,31.98517932344937,118.89036059408554
3,OK,frame_0020.tif,5,10,0.5,456.90897518210824,758.4438431019017,31.985003116335776,118.88985426589564
4,OK,frame_0020.tif,6,24,0.25,582.538884186554,513.5231117945481,31.98554196952844,118.89021696349434
5,OK,frame_0013.tif,6,26,0.23076923076923078,611.0322908711531,492.1972031280029,31.98560498218339,118.89026703837013
6,OK,frame_0045.tif,6,26,0.23076923076923078,509.7149738583122,717.6049722635357,31.985044686688763,118.8901247357134
7,FAIL,frame_0020.tif,5,31,0.16129032258064516,,,,
8,OK,frame_0020.tif,5,12,0.4166666666666667,797.4469894571699,447.24464383843366,31.985687789622446,118.89083741012477
9,FAIL,frame_0020.tif,5,31,0.16129032258064516,,,,
10,OK,frame_0020.tif,6,24,0.25,723.0229099126258,576.4129434219946,31.985403604815996,118.89062254540704
11,FAIL,frame_0020.tif,5,32,0.15625,,,,
12,FAIL,frame_0020.tif,6,41,0.14634146341463414,,,,
13,OK,frame_0042.tif,6,24,0.25,539.5105136409575,492.451386448716,31.98554541435313,118.89019466314353
14,OK,frame_0041.tif,6,24,0.25,691.0654115207375,650.2339759444257,31.98519827488624,118.89062684260313
15,OK,frame_0041.tif,6,24,0.25,530.3741755066743,670.6812504732868,31.985153288579436,118.89016292182266
16,OK,frame_0045.tif,6,24,0.25,586.321263249138,375.88839770204595,31.985796501638056,118.89034590054132
17,OK,frame_0041.tif,5,18,0.2777777777777778,870.9634098212649,668.1732150934954,31.985158806539737,118.89114621392571
18,OK,frame_0020.tif,5,17,0.29411764705882354,614.0603699576869,594.2020865978072,31.98536446669754,118.89030796704029
19,OK,frame_0041.tif,5,18,0.2777777777777778,536.7175486847478,184.94131927362008,31.986221971133723,118.8901812353456
20,OK,frame_0041.tif,5,16,0.3125,406.1519740130488,1221.4325071639855,31.983941573787277,118.88980428832095
21,OK,frame_0041.tif,5,20,0.25,516.9386709095776,932.0517113543535,31.984578244129086,118.89012413308761
22,OK,frame_0041.tif,5,23,0.21739130434782608,709.4759839131254,617.800491926988,31.985269632203845,118.89067999451935
23,OK,frame_0041.tif,6,24,0.25,388.904182337905,466.14002347511155,31.985603302314946,118.88975449339016
24,OK,frame_0041.tif,5,24,0.20833333333333334,750.8411500833328,900.1071883742325,31.98464852567734,118.89079941708806
25,FAIL,frame_0041.tif,6,35,0.17142857142857143,,,,
26,FAIL,frame_0041.tif,5,21,0.23809523809523808,,,,
27,FAIL,frame_0041.tif,5,26,0.19230769230769232,,,,
28,OK,frame_0041.tif,5,22,0.22727272727272727,637.7365517850433,688.430802908847,31.985114237565064,118.89047288046528
29,OK,frame_0041.tif,5,12,0.4166666666666667,457.29925227217944,1117.4894844394482,31.98417026014368,118.88995195216272
30,OK,frame_0045.tif,5,16,0.3125,797.8188662526488,283.79231497091814,31.98599912339223,118.89095650094173
31,OK,frame_0045.tif,6,25,0.24,548.4805555929878,709.8973608035478,31.985061644302032,118.890236653198
32,OK,frame_0045.tif,5,16,0.3125,739.7818249437396,441.0279776431957,31.98565318722595,118.89078894613185
33,OK,frame_0045.tif,5,25,0.2,694.4685585515082,415.50287179273124,31.985709345333543,118.89065812527048
34,OK,frame_0045.tif,5,20,0.25,399.4001404195969,860.0686948213237,31.984731250454395,118.88980625323174
35,FAIL,frame_0045.tif,5,22,0.22727272727272727,,,,
36,OK,frame_0045.tif,5,18,0.2777777777777778,563.1910827446999,638.4412779472264,31.985218855731937,118.89027912296429
37,OK,frame_0041.tif,5,24,0.20833333333333334,678.8656879268548,709.6132271411361,31.985067633846118,118.8905916216077
38,OK,frame_0045.tif,5,21,0.23809523809523808,418.9240397029031,681.7406916561487,31.985123592145253,118.8898626193586
39,OK,frame_0045.tif,5,25,0.2,699.2790903983714,518.7891047622419,31.98548210398857,118.89067201343106
40,FAIL,frame_0045.tif,6,42,0.14285714285714285,,,,
41,FAIL,frame_0042.tif,6,28,0.21428571428571427,,,,
42,OK,frame_0045.tif,5,18,0.2777777777777778,804.0894939426508,550.3338726950234,31.98541270194644,118.89097460444609
43,FAIL,frame_0045.tif,6,35,0.17142857142857143,,,,
44,OK,frame_0045.tif,5,18,0.2777777777777778,522.5583739279887,770.5747530109435,31.984928147205483,118.89016181502357
45,OK,frame_0045.tif,5,15,0.3333333333333333,751.9651730431585,625.2153047165328,31.985247954362595,118.8908241198507
46,OK,frame_0045.tif,5,16,0.3125,584.1625802264772,697.2657509709908,31.985089435266275,118.89033966835382
47,FAIL,frame_0045.tif,8,48,0.16666666666666666,,,,
48,FAIL,frame_0045.tif,5,28,0.17857142857142858,,,,
49,OK,frame_0045.tif,5,16,0.3125,718.3536800445936,469.9339624853642,31.98558959080381,118.89072708238649
50,OK,frame_0045.tif,5,25,0.2,615.6893928250496,565.5770763634689,31.98537916518163,118.8904306872785
51,OK,frame_0042.tif,6,18,0.3333333333333333,698.195868492664,600.0841807202786,31.98530861008377,118.89065279288039
52,OK,frame_0041.tif,5,21,0.23809523809523808,703.7642626812333,626.413972005869,31.985250681577593,118.89066350459595
53,OK,frame_0047.tif,6,22,0.2727272727272727,519.292934310347,647.1603485137911,31.98519430837669,118.89016311643016
54,OK,frame_0045.tif,6,23,0.2608695652173913,567.3951650589231,717.0094446440218,31.985045996916597,118.89029126028551
55,OK,frame_0047.tif,6,22,0.2727272727272727,592.6538730437733,718.7089749038151,31.985036893340588,118.89037491182607
56,OK,frame_0047.tif,7,31,0.22580645161290322,682.4615460558191,550.5648896135768,31.985406829265173,118.89063418947426
57,OK,frame_0045.tif,5,18,0.2777777777777778,899.9426791540391,325.62769083876077,31.985907080853682,118.89125133568294
58,OK,frame_0047.tif,6,29,0.20689655172413793,569.4164412071234,707.0294298415371,31.985062589655115,118.89030782461099
59,OK,frame_0047.tif,9,41,0.21951219512195122,594.7802411662908,709.356126245914,31.985057470660983,118.89038105071943
60,OK,frame_0047.tif,5,16,0.3125,721.5989906872209,591.3491234495581,31.985317099357477,118.89074718053904
61,OK,frame_0047.tif,5,17,0.29411764705882354,653.2902313189516,856.9710518810841,31.984732701199704,118.89054997094786
62,OK,frame_0047.tif,6,24,0.25,709.8638507663544,638.3179619902616,31.9852137626229,118.89071330081164
63,FAIL,frame_0048.tif,6,34,0.17647058823529413,,,,
64,FAIL,frame_0048.tif,6,31,0.1935483870967742,,,,
65,OK,frame_0047.tif,6,26,0.23076923076923078,683.355868918188,656.6211958841011,31.98517349344696,118.8906367714132
66,OK,frame_0045.tif,5,17,0.29411764705882354,1008.0498537224832,560.0528000429623,31.985391319211697,118.89156344458225
67,OK,frame_0047.tif,5,24,0.20833333333333334,774.5496933795516,841.1115963800153,31.98476759378795,118.8909000509253
68,OK,frame_0047.tif,6,27,0.2222222222222222,739.4261166755011,521.609466037963,31.985470534458095,118.89079864802666
69,FAIL,frame_0047.tif,8,51,0.1568627450980392,,,,
70,OK,frame_0047.tif,8,40,0.2,584.7760382550628,773.6601309292646,31.98491599460855,118.890352168263
71,OK,frame_0047.tif,6,17,0.35294117647058826,652.7264904581958,653.8205465324999,31.985179655190954,118.89054834340982
72,OK,frame_0045.tif,5,24,0.20833333333333334,421.71234012859605,567.84438449039,31.9853741768484,118.88987066927184
73,OK,frame_0047.tif,6,30,0.2,506.84176976687314,629.5027079824329,31.98523315717452,118.89012716951659
74,FAIL,frame_0045.tif,6,32,0.1875,,,,
75,FAIL,frame_0047.tif,6,33,0.18181818181818182,,,,
76,OK,frame_0047.tif,6,25,0.24,719.0789065117253,449.97921680559017,31.985628129073643,118.89073990497475
77,OK,frame_0047.tif,5,17,0.29411764705882354,805.3492065923591,873.274738648427,31.984696831252638,118.8909889701132
78,FAIL,frame_0045.tif,4,13,0.3076923076923077,,,,
79,OK,frame_0047.tif,6,24,0.25,641.9463365507833,915.8206442772824,31.984603225468593,118.89051722075784
80,OK,frame_0047.tif,5,22,0.22727272727272727,641.1205446736584,649.7949723076289,31.985188511907623,118.89051483667006
81,OK,frame_0045.tif,5,14,0.35714285714285715,884.6964802235414,429.78869093755156,31.985677914922505,118.89120731941496
82,OK,frame_0045.tif,5,15,0.3333333333333333,857.0050563383845,349.9585270949811,31.9858535502737,118.89112737338118
83,FAIL,frame_0047.tif,6,31,0.1935483870967742,,,,
84,OK,frame_0047.tif,7,30,0.23333333333333334,632.716416334371,686.600529577553,31.985107535536464,118.89049057368052
85,OK,frame_0047.tif,6,25,0.24,744.616719742656,804.3944956029201,31.98484837554486,118.89081363346511
86,OK,frame_0047.tif,6,30,0.2,615.2734478113784,639.9797481235006,31.98521010650625,118.89044021526789
87,FAIL,frame_0047.tif,6,31,0.1935483870967742,,,,
88,OK,frame_0047.tif,5,20,0.25,718.6467171419683,802.792903583422,31.98485189922768,118.8907386572301
89,OK,frame_0045.tif,5,20,0.25,780.0554117360306,286.5506017687983,31.985993054850628,118.89090521727569
90,OK,frame_0047.tif,6,26,0.23076923076923078,655.1002787808391,737.3887032400086,31.984995795834475,118.89055519661326
91,OK,frame_0047.tif,6,30,0.2,628.6022099473817,856.7924076274418,31.98473309423718,118.890478695834
92,OK,frame_0047.tif,6,23,0.2608695652173913,787.7654571421532,476.80600133732446,31.985569107126352,118.89093820526148
93,FAIL,frame_0047.tif,6,31,0.1935483870967742,,,,
94,OK,frame_0047.tif,6,22,0.2727272727272727,696.8263958618952,732.3503329704065,31.985006880816506,118.89067566125888
95,OK,frame_0045.tif,5,22,0.22727272727272727,898.907576972059,102.1460516021382,31.986398765629247,118.89124834730956
96,FAIL,frame_0047.tif,8,43,0.18604651162790697,,,,
97,FAIL,frame_0045.tif,6,33,0.18181818181818182,,,,
98,OK,frame_0045.tif,5,16,0.3125,1063.9633763980235,207.53746625440277,31.986166892647482,118.89172486872535
99,OK,frame_0047.tif,6,30,0.2,627.8511579118419,754.9241818262736,31.98495721580668,118.89047652752257
100,FAIL,frame_0098.tif,7,41,0.17073170731707318,,,,
101,OK,frame_0098.tif,5,20,0.25,581.0087291081248,669.5969676429055,31.985037656927123,118.8905773263133
102,OK,frame_0045.tif,5,23,0.21739130434782608,672.0976313735293,702.6863317917825,31.985077509377987,118.89059353968229
103,OK,frame_0126.tif,7,34,0.20588235294117646,565.7485633610918,677.889884843018,31.98496040297698,118.89066738017341
104,OK,frame_0045.tif,6,23,0.2608695652173913,599.8277603496313,704.6605902480871,31.985073165787036,118.89038489423402
105,OK,frame_0045.tif,5,20,0.25,936.5888770611759,141.38029540012832,31.9863124458742,118.8913571344381
106,OK,frame_0098.tif,6,27,0.2222222222222222,646.9332688108836,612.5510803999163,31.985163164303756,118.89076765258541
107,OK,frame_0098.tif,6,20,0.3,681.5619053071707,704.0038015197905,31.984961958017582,118.89086762657571
108,FAIL,frame_0098.tif,6,35,0.17142857142857143,,,,
109,FAIL,frame_0126.tif,6,44,0.13636363636363635,,,,
110,FAIL,frame_0126.tif,6,38,0.15789473684210525,,,,
111,FAIL,frame_0126.tif,7,36,0.19444444444444445,,,,
112,OK,frame_0126.tif,6,22,0.2727272727272727,673.4678581211012,489.6815935214371,31.98537448241453,118.8909783692512
113,OK,frame_0126.tif,6,25,0.24,698.1322946241775,484.13541896393497,31.985386684623187,118.89104957627478
114,OK,frame_0126.tif,5,18,0.2777777777777778,684.7453690773567,487.63511185671325,31.985378984904674,118.89101092778901
115,OK,frame_0098.tif,5,21,0.23809523809523808,587.7093287703952,707.0003183161375,31.98495536534315,118.89059667116062
116,OK,frame_0126.tif,6,26,0.23076923076923078,574.4331257914786,666.8044799245204,31.984984792116276,118.89069245278522
117,FAIL,frame_0098.tif,5,15,0.3333333333333333,,,,
118,OK,frame_0098.tif,6,30,0.2,670.4510354543421,725.6512049759177,31.984914331291975,118.89083554913613
119,FAIL,frame_0126.tif,6,34,0.17647058823529413,,,,
120,OK,frame_0098.tif,5,25,0.2,702.0041990847268,544.4459231515997,31.98531300331993,118.89092664413708
121,FAIL,frame_0098.tif,6,41,0.14634146341463414,,,,
122,OK,frame_0098.tif,5,18,0.2777777777777778,477.3375976838788,1109.7546274638585,31.984069260503496,118.89027802441362
123,FAIL,frame_0126.tif,6,35,0.17142857142857143,,,,
124,OK,frame_0126.tif,5,22,0.22727272727272727,617.6413662411892,552.7626524236304,31.985235696980546,118.89081719636881
125,OK,frame_0125.tif,6,29,0.20689655172413793,716.0552602807433,722.0207416498318,31.984863310121842,118.8910959560366
126,OK,frame_0126.tif,6,27,0.2222222222222222,457.37644694215766,705.9864081472382,31.984898587461387,118.89035450637844
127,OK,frame_0126.tif,6,27,0.2222222222222222,654.2750580528318,702.6327620975967,31.984905965860396,118.89092295901847
128,FAIL,frame_0125.tif,6,29,0.20689655172413793,,,,
129,OK,frame_0126.tif,6,26,0.23076923076923078,597.2809438908217,678.3736594456348,31.98495933861837,118.89075841517288
130,OK,frame_0126.tif,6,28,0.21428571428571427,573.8481186398201,702.262869967472,31.98490677966474,118.89069076385071
131,OK,frame_0125.tif,6,28,0.21428571428571427,574.1951925893458,600.3032479955134,31.98513110231611,118.89068640144636
132,FAIL,frame_0126.tif,7,44,0.1590909090909091,,,,
133,OK,frame_0126.tif,5,23,0.21739130434782608,609.9112615125334,506.52246239151657,31.985337430606343,118.89079487930717
134,FAIL,frame_0126.tif,6,32,0.1875,,,,
135,OK,frame_0126.tif,5,25,0.2,540.0729580423915,694.2717319942277,31.98492436106827,118.89059325387285
136,OK,frame_0125.tif,6,20,0.3,712.2619538822,741.7864800199908,31.984819823271344,118.8910850046387
137,OK,frame_0045.tif,6,21,0.2857142857142857,748.2911559539792,653.4736397178167,31.985185782843047,118.89081351284489
138,FAIL,frame_0126.tif,5,32,0.15625,,,,
139,FAIL,frame_0126.tif,5,26,0.19230769230769232,,,,
140,FAIL,frame_0126.tif,5,34,0.14705882352941177,,,,
141,OK,frame_0126.tif,6,22,0.2727272727272727,683.8076499046554,497.7380826295188,31.985356757231145,118.89100822056352
142,FAIL,frame_0126.tif,5,25,0.2,,,,
143,OK,frame_0126.tif,5,19,0.2631578947368421,691.3940919511922,534.3904922839796,31.985276117801988,118.89103012286637
144,FAIL,frame_0126.tif,6,35,0.17142857142857143,,,,
145,OK,frame_0126.tif,5,21,0.23809523809523808,698.1739983037263,447.8952860769728,31.98546641699702,118.89104969667466
146,OK,frame_0126.tif,7,30,0.23333333333333334,608.0021017798964,750.9582215752257,31.98479964440697,118.89078936750145
147,OK,frame_0126.tif,5,23,0.21739130434782608,643.9421072533461,374.92410467120925,31.985626961814372,118.89089312745628
148,OK,frame_0126.tif,6,19,0.3157894736842105,651.8165393613572,508.3447607325466,31.98533342134476,118.89091586119571
149,OK,frame_0126.tif,6,28,0.21428571428571427,749.7574020641869,513.609523279443,31.98532183827422,118.8911986196248
150,FAIL,frame_0126.tif,5,32,0.15625,,,,
151,OK,frame_0126.tif,6,26,0.23076923076923078,641.7418970968099,529.5646728322954,31.985286735148282,118.8908867753786
152,FAIL,frame_0126.tif,6,40,0.15,,,,
153,FAIL,frame_0126.tif,8,45,0.17777777777777778,,,,
154,FAIL,frame_0126.tif,6,32,0.1875,,,,
155,FAIL,frame_0126.tif,6,32,0.1875,,,,
156,FAIL,frame_0126.tif,6,39,0.15384615384615385,,,,
157,OK,frame_0126.tif,6,27,0.2222222222222222,613.2005420560124,744.5965191959345,31.98481364086868,118.89080437556618
158,FAIL,frame_0126.tif,6,34,0.17647058823529413,,,,
159,FAIL,frame_0126.tif,6,51,0.11764705882352941,,,,
160,OK,frame_0125.tif,6,27,0.2222222222222222,708.6141497709382,249.655303092285,31.985902567286033,118.8910744733106
161,FAIL,frame_0126.tif,6,47,0.1276595744680851,,,,
162,FAIL,frame_0126.tif,7,56,0.125,,,,
163,FAIL,frame_0126.tif,5,29,0.1724137931034483,,,,
164,FAIL,frame_0126.tif,6,38,0.15789473684210525,,,,
165,FAIL,frame_0126.tif,6,44,0.13636363636363635,,,,
166,OK,frame_0126.tif,5,22,0.22727272727272727,463.3456560830241,911.690973526391,31.98444601425042,118.89037173967773
167,FAIL,frame_0126.tif,6,37,0.16216216216216217,,,,
168,FAIL,frame_0126.tif,6,41,0.14634146341463414,,,,
169,OK,frame_0095.tif,5,24,0.20833333333333334,530.8414203585868,830.9319119102266,31.984688066297686,118.89041639842102
170,OK,frame_0126.tif,6,22,0.2727272727272727,580.4992621976369,798.3059988681997,31.98469547396446,118.89070996591666
171,OK,frame_0126.tif,6,30,0.2,595.178534294304,742.5002627794776,31.984818252868884,118.89075234544858
172,OK,frame_0126.tif,5,25,0.2,659.0119328954642,778.3894509197199,31.984739292613014,118.89093663452888
173,FAIL,frame_0126.tif,6,31,0.1935483870967742,,,,
174,FAIL,frame_0126.tif,6,37,0.16216216216216217,,,,
175,FAIL,frame_0126.tif,5,38,0.13157894736842105,,,,
176,FAIL,frame_0126.tif,6,33,0.18181818181818182,,,,
177,FAIL,frame_0126.tif,6,46,0.13043478260869565,,,,
178,OK,frame_0126.tif,6,25,0.24,705.2082973962551,599.6175723848464,31.985132610879674,118.89107000492298
179,FAIL,frame_0126.tif,6,40,0.15,,,,
180,FAIL,frame_0126.tif,5,24,0.20833333333333334,,,,
181,OK,frame_0125.tif,6,27,0.2222222222222222,646.3373867992466,762.9069556122691,31.984773355846382,118.89089467828754
182,FAIL,frame_0126.tif,5,33,0.15151515151515152,,,,
183,FAIL,frame_0126.tif,5,29,0.1724137931034483,,,,
184,OK,frame_0126.tif,6,29,0.20689655172413793,634.7971725795927,722.6787917504481,31.984861862337507,118.89086672573497
185,FAIL,frame_0126.tif,6,31,0.1935483870967742,,,,
186,FAIL,frame_0126.tif,5,31,0.16129032258064516,,,,
187,FAIL,frame_0126.tif,6,31,0.1935483870967742,,,,
188,FAIL,frame_0126.tif,6,35,0.17142857142857143,,,,
189,FAIL,frame_0126.tif,6,45,0.13333333333333333,,,,
190,OK,frame_0126.tif,6,26,0.23076923076923078,646.2435414744014,677.2520740282433,31.984961806232604,118.89089977177109
191,OK,frame_0126.tif,6,26,0.23076923076923078,670.5552345815953,638.9635444879042,31.985046045309776,118.89096996041312
192,OK,frame_0126.tif,6,24,0.25,716.1041248402967,423.07282039998046,31.9855210292171,118.89110146152818
193,OK,frame_0126.tif,5,24,0.20833333333333334,676.5918010331965,747.978188640575,31.984806200815047,118.89098738817513
194,FAIL,frame_0126.tif,6,31,0.1935483870967742,,,,
195,OK,frame_0126.tif,6,29,0.20689655172413793,657.4193765310383,562.2841230150764,31.985214748672906,118.89093203676731
196,FAIL,frame_0126.tif,6,33,0.18181818181818182,,,,
197,FAIL,frame_0126.tif,6,47,0.1276595744680851,,,,
198,FAIL,frame_0126.tif,6,33,0.18181818181818182,,,,
199,FAIL,frame_0126.tif,6,40,0.15,,,,
200,FAIL,frame_0126.tif,6,33,0.18181818181818182,,,,
